amount,time_of_day,location_risk,transaction_type
21.6,20,0.404,PAYMENT
232.27,22,0.45,TRANSFER
15.78,8,0.456,TRANSFER
4.5,10,0.311,PURCHASE
76.89,11,0.332,WITHDRAWAL
97.85,17,0.051,PURCHASE
47.2,13,0.301,TRANSFER
105.92,11,0.528,PURCHASE
34.41,13,0.291,WITHDRAWAL
34.87,21,0.365,WITHDRAWAL
212.96,14,0.443,PURCHASE
20.42,13,0.159,WITHDRAWAL
3.93,11,0.164,WITHDRAWAL
33.13,7,0.173,WITHDRAWAL
839.45,13,0.772,PURCHASE
299.72,13,0.176,TRANSFER
88.98,20,0.13,TRANSFER
686.13,16,0.256,PAYMENT
7.82,10,0.484,PURCHASE
163.38,18,0.167,PAYMENT
261.28,15,0.42,WITHDRAWAL
397.68,11,0.287,TRANSFER
59.48,18,0.118,PAYMENT
19.14,12,0.369,WITHDRAWAL
3.88,15,0.187,PAYMENT
621.05,8,0.534,PAYMENT
23.54,10,0.205,PAYMENT
16.92,12,0.305,TRANSFER
58.71,10,0.111,PURCHASE
33.84,8,0.157,TRANSFER
8.52,9,0.19,WITHDRAWAL
119.35,12,0.386,PAYMENT
3.89,15,0.293,PAYMENT
10.23,13,0.417,PAYMENT
827.99,16,0.184,TRANSFER
84.52,18,0.395,WITHDRAWAL
25.27,21,0.234,TRANSFER
181.35,10,0.515,PAYMENT
37.78,21,0.204,TRANSFER
448.49,16,0.076,TRANSFER
225.31,10,0.346,PURCHASE
171.69,9,0.314,PAYMENT
95.39,17,0.556,PURCHASE
249.4,18,0.293,TRANSFER
189.32,15,0.176,PAYMENT
186.39,12,0.224,TRANSFER
23.57,15,0.085,TRANSFER
15.28,7,0.399,TRANSFER
145.05,11,0.336,PAYMENT
202.51,7,0.409,TRANSFER
1986.61,16,0.348,TRANSFER
117.86,9,0.485,PAYMENT
69.43,12,0.238,PURCHASE
56.41,9,0.128,PURCHASE
118.59,13,0.213,TRANSFER
93.92,17,0.215,TRANSFER
68.88,14,0.247,WITHDRAWAL
45.7,11,0.16,PAYMENT
510.03,16,0.304,PAYMENT
17.77,12,0.307,PURCHASE
39.12,16,0.308,PAYMENT
110.96,16,0.098,WITHDRAWAL
54.4,16,0.546,TRANSFER
25.44,13,0.64,PAYMENT
5.54,15,0.071,WITHDRAWAL
96.35,11,0.331,WITHDRAWAL
107.97,14,0.608,PURCHASE
49.27,8,0.112,TRANSFER
27.95,12,0.257,PURCHASE
23.26,17,0.11,PURCHASE
1790.41,19,0.069,TRANSFER
8.5,20,0.322,TRANSFER
3.3,17,0.62,TRANSFER
167.32,10,0.47,TRANSFER
317.82,19,0.208,WITHDRAWAL
5.38,21,0.354,TRANSFER
62.17,18,0.232,WITHDRAWAL
288.58,7,0.021,TRANSFER
46.28,7,0.172,PAYMENT
21.69,11,0.152,TRANSFER
19.75,20,0.79,WITHDRAWAL
134.31,17,0.119,PURCHASE
244.71,7,0.187,WITHDRAWAL
23.17,18,0.146,WITHDRAWAL
73.37,22,0.136,PAYMENT
16.75,21,0.317,TRANSFER
15.25,10,0.139,TRANSFER
94.8,15,0.098,PAYMENT
38.17,7,0.629,WITHDRAWAL
64.93,12,0.401,TRANSFER
9.78,12,0.316,PURCHASE
66.31,13,0.162,TRANSFER
14.09,13,0.234,WITHDRAWAL
238.67,21,0.134,PAYMENT
93.98,12,0.166,WITHDRAWAL
3605.04,14,0.241,TRANSFER
394.56,13,0.107,PURCHASE
6.13,14,0.077,PAYMENT
195.26,10,0.5,TRANSFER
61.56,9,0.23,PURCHASE
11.72,15,0.22,PAYMENT
13.63,15,0.193,PAYMENT
18.68,16,0.243,TRANSFER
73.71,14,0.163,TRANSFER
13.61,7,0.342,TRANSFER
31.3,17,0.209,TRANSFER
783.52,13,0.208,PURCHASE
962.79,13,0.133,PURCHASE
18.27,14,0.529,WITHDRAWAL
10.99,13,0.401,PAYMENT
33.4,14,0.591,TRANSFER
237.23,19,0.286,WITHDRAWAL
54.29,9,0.367,WITHDRAWAL
476.17,13,0.06,PURCHASE
25.36,8,0.373,WITHDRAWAL
59.65,16,0.666,PAYMENT
21.46,11,0.611,PURCHASE
298.12,11,0.65,PURCHASE
253.32,11,0.176,PAYMENT
48.12,7,0.254,WITHDRAWAL
132.19,9,0.212,PAYMENT
122.13,11,0.336,WITHDRAWAL
16.02,11,0.421,PAYMENT
74.52,8,0.383,WITHDRAWAL
36.83,22,0.171,TRANSFER
1559.64,7,0.377,TRANSFER
606.56,16,0.234,PAYMENT
0.94,11,0.227,WITHDRAWAL
191.84,9,0.431,PAYMENT
163.53,16,0.201,PURCHASE
328.61,17,0.41,WITHDRAWAL
152.11,8,0.051,PAYMENT
123.06,16,0.098,PAYMENT
18.01,19,0.134,PAYMENT
22.27,21,0.246,PAYMENT
119.21,20,0.582,PAYMENT
1475.43,19,0.24,PURCHASE
228.32,14,0.299,PURCHASE
57.34,7,0.172,PURCHASE
11.79,17,0.039,TRANSFER
83.22,20,0.389,WITHDRAWAL
4.67,11,0.344,TRANSFER
80.16,9,0.308,TRANSFER
57.18,7,0.226,PURCHASE
125.92,14,0.084,PAYMENT
56.57,13,0.397,PAYMENT
69.24,12,0.445,TRANSFER
70.83,15,0.455,PAYMENT
66.65,15,0.412,PURCHASE
123.25,7,0.16,PAYMENT
323.1,10,0.368,PURCHASE
120.01,18,0.336,PURCHASE
1.65,16,0.004,PURCHASE
12.47,22,0.116,WITHDRAWAL
7.85,19,0.391,TRANSFER
11.67,14,0.143,PAYMENT
268.46,11,0.327,PAYMENT
79.39,8,0.75,TRANSFER
94.11,17,0.461,PAYMENT
240.22,9,0.34,PAYMENT
44.03,7,0.327,TRANSFER
141.14,12,0.404,TRANSFER
15.25,13,0.678,WITHDRAWAL
2.05,9,0.275,WITHDRAWAL
429.84,21,0.142,WITHDRAWAL
21.12,14,0.521,TRANSFER
81.82,11,0.21,WITHDRAWAL
293.48,14,0.029,TRANSFER
386.29,9,0.605,PURCHASE
63.74,11,0.129,WITHDRAWAL
325.67,8,0.212,PAYMENT
106.05,13,0.327,WITHDRAWAL
12.38,14,0.162,PAYMENT
11.72,20,0.391,WITHDRAWAL
68.56,8,0.238,PURCHASE
135.0,13,0.209,TRANSFER
68.71,15,0.176,TRANSFER
321.39,22,0.36,PURCHASE
4.58,18,0.458,PAYMENT
7.13,20,0.396,TRANSFER
81.2,15,0.039,WITHDRAWAL
31.29,9,0.154,PAYMENT
287.6,10,0.232,WITHDRAWAL
14.56,10,0.208,PURCHASE
12.26,22,0.259,PAYMENT
72.81,15,0.155,PAYMENT
14.15,8,0.135,TRANSFER
216.37,7,0.275,PURCHASE
105.81,12,0.036,PAYMENT
22.25,8,0.163,TRANSFER
1719.89,7,0.21,PURCHASE
184.47,12,0.141,WITHDRAWAL
9.91,7,0.296,PURCHASE
29.93,8,0.075,PAYMENT
11.07,17,0.191,WITHDRAWAL
365.28,17,0.505,PAYMENT
96.36,9,0.288,WITHDRAWAL
68.35,8,0.25,PURCHASE
53.18,12,0.518,WITHDRAWAL
129.98,12,0.093,PAYMENT
161.89,16,0.697,PURCHASE
40.1,17,0.253,TRANSFER
12.07,12,0.145,WITHDRAWAL
68.67,13,0.266,PAYMENT
20.26,17,0.182,PAYMENT
165.67,7,0.162,PAYMENT
196.31,17,0.401,WITHDRAWAL
18.16,22,0.195,PAYMENT
175.73,13,0.33,TRANSFER
16.88,8,0.415,WITHDRAWAL
20.58,17,0.342,PURCHASE
48.33,22,0.654,TRANSFER
109.06,13,0.214,TRANSFER
321.81,10,0.774,PAYMENT
264.13,13,0.246,WITHDRAWAL
30.74,15,0.046,TRANSFER
371.25,12,0.058,WITHDRAWAL
14.84,13,0.385,PAYMENT
35.85,7,0.623,PURCHASE
7.06,8,0.289,WITHDRAWAL
1.29,10,0.294,PURCHASE
29.54,21,0.36,TRANSFER
57.35,11,0.526,WITHDRAWAL
103.77,9,0.459,WITHDRAWAL
268.71,17,0.14,TRANSFER
353.42,12,0.199,PAYMENT
14.94,17,0.518,WITHDRAWAL
26.96,17,0.259,PAYMENT
920.49,19,0.483,WITHDRAWAL
1.37,9,0.381,PAYMENT
7.37,13,0.475,WITHDRAWAL
1383.05,13,0.158,TRANSFER
742.18,14,0.411,PAYMENT
106.83,17,0.312,WITHDRAWAL
24.24,14,0.226,TRANSFER
